Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101120,1,OK,0.6816722,-0.3919830,-0.5815946,-0.2083749,87.816,-115.022,-161.937,0.0054576,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101120,1,OK,0.8826100,0.4357069,-0.0821753,0.1562253,-5.260,36.303,-206.883,0.0366010,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101120,1,OK,0.8821733,0.2570975,-0.0600492,-0.3899554,28.478,3.063,-189.208,0.0458073,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101128,1,OK,0.6816509,-0.3918935,-0.5816458,-0.2084699,87.816,-115.023,-161.946,0.0037841,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101128,1,OK,0.8825738,0.4357024,-0.0822090,0.1564246,-5.223,36.329,-206.848,0.0382305,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101128,1,OK,0.8821861,0.2570894,-0.0600375,-0.3899337,28.490,3.083,-189.208,0.0452216,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101136,1,OK,0.6816646,-0.3919538,-0.5816151,-0.2083974,87.819,-115.023,-161.954,0.0033759,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101136,1,OK,0.8826906,0.4356618,-0.0819853,0.1559951,-5.207,36.337,-206.805,0.0419214,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101136,1,OK,0.8822152,0.2570158,-0.0600057,-0.3899211,28.480,3.079,-189.208,0.0448837,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101144,1,OK,0.6816285,-0.3918744,-0.5816713,-0.2085076,87.817,-115.024,-161.944,0.0024710,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101144,1,OK,0.8825684,0.4357281,-0.0822036,0.1563859,-5.294,36.258,-206.801,0.0506785,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101144,1,OK,0.8822041,0.2569854,-0.0599687,-0.3899720,28.475,3.077,-189.213,0.0448393,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101152,1,OK,0.6815287,-0.3915565,-0.5818921,-0.2088151,87.820,-115.026,-161.948,0.0025796,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101152,1,OK,0.8825793,0.4356695,-0.0821946,0.1564928,-5.265,36.276,-206.767,0.0504521,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101152,1,OK,0.8822027,0.2569588,-0.0600210,-0.3899847,28.478,3.069,-189.212,0.0444829,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101160,1,OK,0.6815880,-0.3917255,-0.5817708,-0.2086423,87.819,-115.024,-161.940,0.0023867,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101160,1,OK,0.8825967,0.4356418,-0.0821357,0.1565024,-5.242,36.288,-206.735,0.0506010,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101160,1,OK,0.8821884,0.2569567,-0.0599644,-0.3900272,28.469,3.069,-189.210,0.0446476,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101168,1,OK,0.6816158,-0.3917883,-0.5817173,-0.2085829,87.818,-115.022,-161.931,0.0032475,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101168,1,OK,0.8826102,0.4355812,-0.0821298,0.1565979,-5.229,36.299,-206.718,0.0508110,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101168,1,OK,0.8821978,0.2569881,-0.0599870,-0.3899818,28.466,3.067,-189.214,0.0440769,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101176,1,OK,0.6815696,-0.3916433,-0.5818172,-0.2087274,87.823,-115.022,-161.934,0.0029753,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101176,1,OK,0.8826234,0.4355673,-0.0820834,0.1565863,-5.218,36.310,-206.706,0.0510915,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101176,1,OK,0.8821390,0.2569641,-0.0599972,-0.3901288,28.462,3.052,-189.207,0.0443388,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101184,1,OK,0.6815860,-0.3916689,-0.5817919,-0.2086965,87.820,-115.022,-161.931,0.0035252,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101184,1,OK,0.8826278,0.4355742,-0.0820346,0.1565684,-5.215,36.319,-206.695,0.0511117,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101184,1,OK,0.8820389,0.2569353,-0.0599137,-0.3903869,28.449,3.038,-189.203,0.0446300,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101192,1,OK,0.6815392,-0.3915575,-0.5818731,-0.2088318,87.821,-115.021,-161.930,0.0036198,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101192,1,OK,0.8826121,0.4355251,-0.0821336,0.1567412,-5.212,36.318,-206.688,0.0512342,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101192,1,OK,0.8820290,0.2569279,-0.0598388,-0.3904256,28.434,3.033,-189.196,0.0447279,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101200,1,OK,0.6815842,-0.3916708,-0.5817985,-0.2086801,87.823,-115.020,-161.937,0.0031438,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101200,1,OK,0.8825858,0.4355138,-0.0822271,0.1568720,-5.217,36.314,-206.696,0.0507417,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101200,1,OK,0.8820733,0.2569125,-0.0598496,-0.3903341,28.417,3.026,-189.188,0.0449104,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101208,1,OK,0.6815684,-0.3915891,-0.5818503,-0.2087407,87.822,-115.020,-161.940,0.0034199,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101208,1,OK,0.8825791,0.4355428,-0.0822166,0.1568348,-5.224,36.307,-206.713,0.0508812,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101208,1,OK,0.8821073,0.2569234,-0.0598961,-0.3902430,28.408,3.023,-189.191,0.0453109,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101216,1,OK,0.6815293,-0.3914737,-0.5819299,-0.2088629,87.823,-115.020,-161.934,0.0038216,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101216,1,OK,0.8825461,0.4355477,-0.0822753,0.1569759,-5.231,36.297,-206.729,0.0504947,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101216,1,OK,0.8820692,0.2569322,-0.0599444,-0.3903159,28.410,3.019,-189.195,0.0460811,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,1101224,1,OK,0.6814843,-0.3913512,-0.5820221,-0.2089824,87.827,-115.019,-161.932,0.0046355,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,1101224,1,OK,0.8825099,0.4355738,-0.0823243,0.1570808,-5.235,36.282,-206.760,0.0499362,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,1101224,1,OK,0.8821368,0.2569533,-0.0600325,-0.3901356,28.408,3.020,-189.196,0.0455553,0
