Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963032,1,OK,0.6943650,-0.4075317,-0.5756679,-0.1427640,99.344,-107.429,-162.156,0.0070149,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963032,1,OK,0.6093980,0.4739955,0.1513767,-0.6172903,5.395,-76.950,-243.535,0.0198216,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963032,1,OK,0.6924792,0.5452314,-0.3160064,0.3511910,-15.160,-1.998,-304.522,0.0506272,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963040,1,OK,0.6943628,-0.4075612,-0.5756692,-0.1426856,99.349,-107.434,-162.155,0.0069594,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963040,1,OK,0.6093294,0.4740223,0.1514482,-0.6173200,5.398,-76.942,-243.532,0.0192782,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963040,1,OK,0.6924659,0.5451753,-0.3160682,0.3512489,-15.154,-2.006,-304.517,0.0507516,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963048,1,OK,0.6943505,-0.4075663,-0.5756774,-0.1426976,99.350,-107.436,-162.149,0.0072320,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963048,1,OK,0.6092653,0.4740209,0.1515205,-0.6173666,5.396,-76.934,-243.528,0.0197764,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963048,1,OK,0.6924254,0.5451472,-0.3161332,0.3513139,-15.163,-2.003,-304.495,0.0509802,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963056,1,OK,0.6943473,-0.4074372,-0.5757212,-0.1429051,99.331,-107.435,-162.132,0.0084112,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963056,1,OK,0.6092325,0.4740238,0.1515188,-0.6173971,5.413,-76.943,-243.525,0.0197774,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963056,1,OK,0.6924490,0.5451119,-0.3161067,0.3513460,-15.175,-2.011,-304.529,0.0523377,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963064,1,OK,0.6943335,-0.4073960,-0.5757797,-0.1428536,99.346,-107.434,-162.158,0.0095201,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963064,1,OK,0.6091948,0.4740937,0.1515761,-0.6173667,5.423,-76.920,-243.509,0.0195214,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963064,1,OK,0.6924310,0.5450902,-0.3161526,0.3513739,-15.161,-2.016,-304.506,0.0494075,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963072,1,OK,0.6944049,-0.4076237,-0.5756129,-0.1425292,99.349,-107.432,-162.187,0.0075278,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963072,1,OK,0.6091988,0.4740837,0.1515928,-0.6173662,5.420,-76.913,-243.509,0.0197019,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963072,1,OK,0.6924279,0.5450983,-0.3161187,0.3513979,-15.176,-2.017,-304.546,0.0476168,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963080,1,OK,0.6944517,-0.4079662,-0.5754218,-0.1420922,99.366,-107.434,-162.203,0.0047307,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963080,1,OK,0.6092352,0.4740806,0.1515593,-0.6173409,5.421,-76.918,-243.507,0.0201179,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963080,1,OK,0.6924336,0.5450685,-0.3161269,0.3514254,-15.177,-2.026,-304.562,0.0484154,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963088,1,OK,0.6944412,-0.4080087,-0.5754062,-0.1420846,99.371,-107.435,-162.193,0.0040353,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963088,1,OK,0.6092283,0.4740724,0.1515888,-0.6173467,5.417,-76.912,-243.495,0.0213239,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963088,1,OK,0.6924685,0.5451012,-0.3160361,0.3513875,-15.191,-2.031,-304.585,0.0474268,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963096,1,OK,0.6944934,-0.4081713,-0.5752515,-0.1419884,99.358,-107.430,-162.158,0.0029898,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963096,1,OK,0.6091438,0.4740401,0.1516859,-0.6174311,5.418,-76.906,-243.493,0.0216923,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963096,1,OK,0.6924795,0.5451066,-0.3160544,0.3513411,-15.186,-2.021,-304.568,0.0463445,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,8963104,1,OK,0.6945154,-0.4081430,-0.5752247,-0.1420714,99.345,-107.425,-162.148,0.0031943,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,8963104,1,OK,0.6091778,0.4740142,0.1516547,-0.6174251,5.422,-76.926,-243.502,0.0208217,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,8963104,1,OK,0.6924573,0.5451237,-0.3160597,0.3513535,-15.192,-2.013,-304.567,0.0456918,0
