Tools,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840912,1,OK,0.8612804,0.3594214,0.2392379,-0.2679134,-3.252,23.155,-309.787,0.0552071,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840912,1,OK,0.6823910,-0.3884292,-0.5836543,-0.2069131,86.904,-115.286,-161.953,0.0060762,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840920,1,OK,0.8666107,0.3644562,0.2222254,-0.2584058,-4.123,23.161,-309.530,0.0444093,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840920,1,OK,0.6823412,-0.3882519,-0.5837866,-0.2070367,86.917,-115.287,-161.983,0.0063953,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840928,1,OK,0.8746078,0.3720778,0.1951862,-0.2419126,-5.404,23.162,-309.594,0.0585347,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840928,1,OK,0.6823804,-0.3884084,-0.5836808,-0.2069120,86.914,-115.285,-161.964,0.0055862,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840936,1,OK,0.8812561,0.3790091,0.1666885,-0.2279360,-6.925,23.320,-309.210,0.0346058,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840936,1,OK,0.6824192,-0.3885249,-0.5835890,-0.2068241,86.907,-115.285,-161.944,0.0051008,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840944,1,OK,0.8862575,0.3837665,0.1428073,-0.2165109,-8.233,23.544,-308.648,0.0308615,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840944,1,OK,0.6824503,-0.3886499,-0.5834963,-0.2067484,86.905,-115.283,-161.937,0.0045609,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840952,1,OK,0.8916180,0.3871478,0.1187878,-0.2025421,-9.636,23.551,-308.100,0.0411811,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840952,1,OK,0.6824408,-0.3885226,-0.5835465,-0.2068771,86.894,-115.280,-161.943,0.0051376,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840960,1,OK,0.8956021,0.3897019,0.0974919,-0.1911141,-10.576,23.671,-307.385,0.0396977,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840960,1,OK,0.6823682,-0.3882992,-0.5836954,-0.2071162,86.893,-115.277,-161.938,0.0072143,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840968,1,OK,0.8981221,0.3916611,0.0821383,-0.1822954,-11.346,23.934,-306.778,0.0357298,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840968,1,OK,0.6823433,-0.3882560,-0.5837356,-0.2071658,86.898,-115.277,-161.939,0.0066284,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840976,1,OK,0.9000039,0.3925926,0.0700566,-0.1759433,-12.082,24.023,-306.246,0.0458442,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840976,1,OK,0.6823995,-0.3883528,-0.5836382,-0.2070736,86.891,-115.273,-161.938,0.0057432,0
2,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,840984,1,OK,0.9011609,0.3929191,0.0605013,-0.1728097,-12.561,24.099,-305.802,0.0402136,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,840984,1,OK,0.6823002,-0.3880592,-0.5838526,-0.2073466,86.894,-115.274,-161.955,0.0076953,0
