Tools,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338280,1,OK,0.7124241,-0.4194109,-0.5430336,-0.1471765,95.565,-103.626,-162.161,0.0037430,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338280,1,OK,0.8761807,0.4191209,-0.1149501,0.2084026,-7.502,52.339,-215.252,0.0441586,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338280,1,OK,0.7577934,0.2595148,-0.0550237,-0.5961322,15.348,15.723,-191.834,0.0343294,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338288,1,OK,0.7123900,-0.4192928,-0.5431245,-0.1473427,95.563,-103.626,-162.144,0.0037145,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338288,1,OK,0.8761842,0.4191688,-0.1149830,0.2082732,-7.522,52.356,-215.273,0.0441952,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338288,1,OK,0.7574451,0.2603418,-0.0542341,-0.5962866,15.635,15.309,-192.316,0.0356525,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338296,1,OK,0.7123587,-0.4192135,-0.5431958,-0.1474568,95.562,-103.629,-162.142,0.0039605,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338296,1,OK,0.8761858,0.4191925,-0.1149867,0.2082167,-7.539,52.370,-215.302,0.0444130,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338296,1,OK,0.7574606,0.2613481,-0.0536886,-0.5958759,15.930,14.941,-192.848,0.0339771,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338304,1,OK,0.7123021,-0.4190391,-0.5433505,-0.1476554,95.568,-103.629,-162.145,0.0048060,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338304,1,OK,0.8762041,0.4192383,-0.1149459,0.2080699,-7.551,52.396,-215.345,0.0447696,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338304,1,OK,0.7565092,0.2622667,-0.0522868,-0.5968049,16.108,14.572,-193.403,0.0392645,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338312,1,OK,0.7122459,-0.4187909,-0.5435365,-0.1479458,95.569,-103.629,-162.160,0.0062169,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338312,1,OK,0.8762455,0.4189993,-0.1151327,0.2082735,-7.641,52.589,-215.770,0.0453940,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338312,1,OK,0.7555845,0.2638703,-0.0507857,-0.5973988,16.322,14.533,-193.960,0.0393523,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338320,1,OK,0.7123077,-0.4189343,-0.5434105,-0.1477052,95.567,-103.625,-162.166,0.0055641,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338320,1,OK,0.8759624,0.4190826,-0.1155144,0.2090841,-7.604,52.721,-215.952,0.0455675,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338320,1,OK,0.7548741,0.2649096,-0.0498991,-0.5979115,16.468,14.636,-194.561,0.0380595,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338328,1,OK,0.7123302,-0.4190534,-0.5433261,-0.1475692,95.568,-103.623,-162.162,0.0047722,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338328,1,OK,0.8760542,0.4191695,-0.1149647,0.2088281,-7.517,52.804,-215.908,0.0433369,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338328,1,OK,0.7551769,0.2651908,-0.0503738,-0.5973644,16.545,15.063,-195.143,0.0409226,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338336,1,OK,0.7122861,-0.4189386,-0.5434189,-0.1477664,95.566,-103.624,-162.151,0.0052974,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338336,1,OK,0.8765404,0.4190473,-0.1139706,0.2075740,-7.424,52.924,-215.829,0.0448947,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338336,1,OK,0.7569783,0.2649269,-0.0521376,-0.5950456,16.803,15.843,-195.854,0.0383109,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338344,1,OK,0.7123102,-0.4190389,-0.5433290,-0.1476965,95.563,-103.620,-162.136,0.0046040,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338344,1,OK,0.8768433,0.4183772,-0.1136841,0.2078033,-7.346,53.139,-215.930,0.0460213,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338344,1,OK,0.7572303,0.2645463,-0.0524761,-0.5948645,16.993,16.970,-196.568,0.0379537,0
3,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,7338352,1,OK,0.7123691,-0.4191003,-0.5432139,-0.1476612,95.544,-103.613,-162.125,0.0045476,0,Port 10: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,7338352,1,OK,0.8772796,0.4177845,-0.1129018,0.2075807,-7.216,53.585,-215.836,0.0450353,0,Port 11: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,7338352,1,OK,0.7580181,0.2651034,-0.0531392,-0.5935528,17.325,17.205,-198.335,0.0378525,0
