Tools,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,Frame,Face,State,Q0,Qx,Qy,Qz,Tx,Ty,Tz,Error,Markers
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194776,1,OK,0.8753121,0.2425815,-0.0741857,-0.4116789,10.969,-8.547,-157.624,0.0396066,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194776,1,OK,0.6807259,-0.3600661,-0.6093060,-0.1889731,93.184,-107.719,-162.139,0.0053631,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194776,1,OK,0.8831039,0.4234226,-0.1046781,0.1728679,-11.427,49.862,-233.895,0.0474805,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194784,1,OK,0.8752871,0.2426265,-0.0742154,-0.4117001,10.949,-8.549,-157.623,0.0401564,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194784,1,OK,0.6807431,-0.3600536,-0.6092909,-0.1889838,93.181,-107.715,-162.145,0.0052383,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194784,1,OK,0.8829535,0.4230668,-0.1056029,0.1739416,-11.593,49.829,-233.842,0.0382071,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194792,1,OK,0.8753051,0.2426137,-0.0742479,-0.4116635,10.926,-8.561,-157.617,0.0407380,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194792,1,OK,0.6807368,-0.3600189,-0.6093107,-0.1890087,93.180,-107.718,-162.146,0.0051550,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194792,1,OK,0.8829169,0.4228195,-0.1060208,0.1744735,-11.619,49.842,-233.819,0.0412547,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194800,1,OK,0.8752680,0.2426742,-0.0742784,-0.4117012,10.904,-8.565,-157.622,0.0408388,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194800,1,OK,0.6807189,-0.3599974,-0.6093221,-0.1890771,93.176,-107.720,-162.129,0.0056714,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194800,1,OK,0.8829632,0.4227806,-0.1059374,0.1743843,-11.663,49.833,-233.800,0.0402789,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194808,1,OK,0.8752503,0.2427213,-0.0744015,-0.4116888,10.883,-8.574,-157.640,0.0408048,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194808,1,OK,0.6807347,-0.3601174,-0.6092925,-0.1888871,93.188,-107.727,-162.145,0.0054001,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194808,1,OK,0.8829744,0.4227469,-0.1059821,0.1743818,-11.699,49.836,-233.772,0.0429016,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194816,1,OK,0.8752857,0.2427461,-0.0744564,-0.4115891,10.859,-8.581,-157.645,0.0403611,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194816,1,OK,0.6807499,-0.3600781,-0.6093030,-0.1888737,93.188,-107.725,-162.166,0.0057283,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194816,1,OK,0.8830563,0.4230003,-0.1055831,0.1735929,-11.637,49.893,-233.805,0.0474394,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194824,1,OK,0.8751658,0.2428010,-0.0744368,-0.4118150,10.837,-8.586,-157.644,0.0413379,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194824,1,OK,0.6808126,-0.3602801,-0.6091758,-0.1886722,93.183,-107.724,-162.156,0.0052751,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194824,1,OK,0.8830486,0.4229361,-0.1056960,0.1737198,-11.671,49.899,-233.800,0.0473924,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194832,1,OK,0.8751392,0.2428530,-0.0745271,-0.4118247,10.815,-8.593,-157.651,0.0415125,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194832,1,OK,0.6807752,-0.3602402,-0.6092218,-0.1887349,93.187,-107.730,-162.154,0.0055544,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194832,1,OK,0.8830386,0.4229276,-0.1057503,0.1737583,-11.695,49.912,-233.787,0.0475393,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194840,1,OK,0.8751187,0.2428991,-0.0745642,-0.4118342,10.789,-8.600,-157.651,0.0419065,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194840,1,OK,0.6808268,-0.3604512,-0.6090892,-0.1885739,93.182,-107.733,-162.135,0.0050859,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194840,1,OK,0.8830412,0.4229221,-0.1057657,0.1737490,-11.709,49.922,-233.776,0.0476478,0
3,Port 10: NDI-MF2 610016 T6A0-L00051  s/n:3A913800 Channel:0,194848,1,OK,0.8751483,0.2428744,-0.0745800,-0.4117830,10.763,-8.611,-157.647,0.0412417,0,Port 12: NDI-MF2 610060   CAe0-L00021  s/n:38AA8800 Channel:0,194848,1,OK,0.6808988,-0.3606346,-0.6089632,-0.1883700,93.180,-107.733,-162.147,0.0038041,0,Port 11: NDI-MF2 610016 T6A0-L00023  s/n:3919900A Channel:0,194848,1,OK,0.8830339,0.4228585,-0.1058381,0.1738967,-11.716,49.922,-233.767,0.0479560,0
